,Indicator,Country,Date,value
346,Cumulative number of suspected Ebola cases,Senegal,2015-02-27,0.0
347,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-27,1.0
348,Cumulative number of confirmed Ebola cases,Spain,2015-02-27,1.0
349,Cumulative number of probable Ebola cases,Spain,2015-02-27,0.0
350,Cumulative number of suspected Ebola cases,Spain,2015-02-27,0.0
351,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-27,1.0
352,Cumulative number of confirmed Ebola cases,United States of America,2015-02-27,4.0
353,Cumulative number of probable Ebola cases,United States of America,2015-02-27,0.0
354,Cumulative number of suspected Ebola cases,United States of America,2015-02-27,0.0
355,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-27,4.0
356,Cumulative number of confirmed Ebola deaths,Nigeria,2015-02-27,7.0
357,Cumulative number of probable Ebola deaths,Nigeria,2015-02-27,1.0
